Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
06/18/1999,-0.352475671422453,-0.182678722829014,-0.35684449059582,-0.0545564422658373,0.463934303999028,0.440489516100361
06/25/1999,-0.332753738412198,-0.161611145006434,-0.330351443277819,-0.0495461568216996,0.501892804984559,0.447114328104207
07/02/1999,-0.311469592495489,-0.144104491019638,-0.301038140332455,-0.0443847377264665,0.542066886605764,0.454426667478676
07/09/1999,-0.287895775104608,-0.123198527667223,-0.269417537735356,-0.0388981390019341,0.585534490481093,0.462274051005196
07/16/1999,-0.262003598284686,-0.092645261645002,-0.236597440644195,-0.0332393264249351,0.633293425524564,0.470468485337741
07/23/1999,-0.236167017961021,-0.0531349917070682,-0.205339420769795,-0.0274519009108669,0.685149497464235,0.478834134882809
07/30/1999,-0.212342985493602,-0.00931308145259127,-0.178268082814357,-0.0215989665349234,0.740748929786689,0.487196276897444
08/06/1999,-0.190933485413205,0.0355488947608584,-0.156154008401567,-0.0157926455785736,0.798919834433804,0.495389829695707
08/13/1999,-0.174087093321204,0.0719415999018437,-0.140462927222903,-0.0102980744096671,0.856846630739474,0.503268737377019
08/20/1999,-0.16144430035572,0.0977043953606103,-0.130792353109139,-0.00527187168528948,0.912182562682136,0.51070958657636
08/27/1999,-0.150677103652982,0.115723205584304,-0.123662958489809,-0.00111085978153797,0.961338026777608,0.517612742994936
09/03/1999,-0.139308775517846,0.133335716184879,-0.115207190104677,0.0019878191945176,1.00036723017221,0.523905454887653
09/10/1999,-0.12660346289268,0.15623449549899,-0.104068838052583,0.00437653009008113,1.02607941310152,0.529541657922582
09/17/1999,-0.113723589634536,0.185511482051713,-0.0900423808726132,0.00580901879875315,1.0364070750253,0.534502071371155
09/24/1999,-0.101522416962556,0.21851799840276,-0.073552308449559,0.00657443684639178,1.03088676129416,0.538795214468805
10/01/1999,-0.0910162455536012,0.250816367219577,-0.05672352945408,0.00749218309547553,1.01159010523121,0.542453179996028
10/08/1999,-0.0847518089188892,0.27341535135077,-0.0425926014955163,0.0089440692506594,0.981789763003601,0.545523487694591
10/15/1999,-0.0867630437745284,0.275368197646565,-0.0378408931610251,0.0118388410888369,0.947887050008312,0.548081257388612
10/22/1999,-0.0963470017714741,0.254976282446278,-0.042889585543165,0.0169511707534974,0.914756210525898,0.550205219146135
10/29/1999,-0.111628252095615,0.217054283156076,-0.0587437967493377,0.0248968552896806,0.889711793787947,0.551982060869777
11/05/1999,-0.12945206053562,0.169474529411941,-0.0834926474435784,0.0356825075267821,0.878047663446402,0.553503934504744
11/12/1999,-0.147135729533501,0.12343521480281,-0.114270179800305,0.0488899996478292,0.882613276058151,0.55486547035376
11/19/1999,-0.161780955060294,0.088749750379012,-0.147229223023368,0.0636043843859093,0.904260583153001,0.556161627367751
11/26/1999,-0.16926992538372,0.0742792902632872,-0.176464639646697,0.0785079378900914,0.941526120408939,0.557487944619486
12/03/1999,-0.171417063585337,0.0755840972832207,-0.200672465558517,0.0917976340017357,0.99059737871877,0.558939631365131
12/10/1999,-0.169846274810523,0.0851343062460321,-0.219219950476082,0.101628140785724,1.04780060807519,0.560611080789157
12/17/1999,-0.168586438708067,0.0911330512745319,-0.232360515669397,0.105342360188355,1.10848052443413,0.562596426359332
12/24/1999,-0.169040714042675,0.0876574460226936,-0.241350564785941,0.103473235455077,1.16758133954695,0.564988219750589
12/31/1999,-0.172553777854835,0.0740947395831836,-0.247127672222336,0.0955212160870347,1.22231655160235,0.567874798821494
01/07/2000,-0.182420283712572,0.0499381060018481,-0.252640425047947,0.0817176718504553,1.27002801901497,0.571341582077013
01/14/2000,-0.193697027056014,0.0243282624134144,-0.257250183681245,0.0661873795980596,1.30864911202616,0.575471411129524
01/21/2000,-0.204060026453332,0.00407408316226928,-0.260347685115191,0.0505450389256382,1.33812953997196,0.580327971049619
01/28/2000,-0.211417373753712,-0.0109923789086373,-0.260915220814958,0.0372086849667978,1.35692241682492,0.585965419426262
02/04/2000,-0.213316940368883,-0.0209635657860825,-0.258360751631844,0.0278964013362838,1.36599151829644,0.592420965470365
02/11/2000,-0.211077732244501,-0.0273912090832299,-0.253088958759389,0.0232210324751304,1.36439825601687,0.599709353535695
02/18/2000,-0.203329939394423,-0.0274991488098575,-0.243571039815505,0.0237057079619086,1.35200231646715,0.607821995184239
02/25/2000,-0.190533927022944,-0.016527794238313,-0.228624026467253,0.0288867550561743,1.32758437841398,0.616725137023966
03/03/2000,-0.174514315528358,0.00811475804963658,-0.209491284025538,0.0379277024795336,1.2919324063933,0.626357136772543
03/10/2000,-0.154518741085575,0.0459333909557228,-0.184977555097968,0.049731654081468,1.24588361257118,0.636629619206693
03/17/2000,-0.132393695066944,0.0892167102993584,-0.156001661347488,0.0631917095182332,1.1896207339682,0.647426309655991
03/24/2000,-0.110236042968232,0.126865856573768,-0.125920519675778,0.0772485608272874,1.12636979694519,0.658604062678632
03/31/2000,-0.0894298336839084,0.150670268930857,-0.0958965194657976,0.090768901540952,1.05788854365024,0.669999955305558
04/07/2000,-0.0737026474510004,0.15470167993707,-0.0700898005194192,0.103243320613327,0.986265006180803,0.681445178918325
04/14/2000,-0.0594295715998233,0.154863444038211,-0.0447725044631818,0.114602702699647,0.912358962192728,0.692741547443534
04/21/2000,-0.0465093541778555,0.159720660294254,-0.0204868689971685,0.124768878356566,0.83857301803473,0.703723240213538
04/28/2000,-0.0326205020017584,0.1806433296418,0.00427871183604937,0.134333220393067,0.766363999568492,0.714233627718511
05/05/2000,-0.0168197230657594,0.220191917832346,0.0296860000920236,0.14397546855948,0.696720201969918,0.724138288954694
